URGENT CALL TO ACTION = a statement calling for immediate attention including an action needed to be taken immediately or information that needs to be disseminated immediately OR critical: being in or verging on a state of crisis or emergency OR urgently needed OR absolutely necessary. The next actionable step is to take the urgent action ASAP or distribute the knowledge ASAP.
a.	HAS TO BE/ HAVE TO BE
7)	“molecular chaperones are a diverse group of proteins that play CRITICAL roles in maintaining cellular proteostasis in all organisms, including plants, under normal as well as stress conditions (boston et al.” [a results statement that molecular chaperones play an important role in maintaining cellular proteostasis, not a statement that lays out a specific call to action that needs immediate attention]
8)	“preoperative ct angiography is CRITICAL to define vascular anatomy and prevent significant blood loss and damage to surrounding structures during robotic pelvic kidney surgery.” [a procedure needed to define vascular anatomy and prevent adverse events, not a statement that lays out a specific call to action that needs immediate attention]
9)	“<improving eggshell quality is CRITICALLY important for the poultry industry>.” [urgent call to improve eggshell quality for the poultry industry]
10)	“<this article CRITICALLY appraises the potential therapeutic roles of msc in liver disease, as well as the barriers to their adoption into clinical practice>.” [urgent call to use msc in liver disease based on the barriers to their adoption into clinical practice laid out in the article]
11)	 “in addition to the score related to error-free writing, students’ performance on the dimensions from the inquiry and analysis rubric that correspond to critical thinking and science literacy (ek, dp, c, and most CRITICALLY, a) showed significant improvement.” [a statement about critical thinking and improvement in very specific areas of science literacy, not a statement that lays out a specific call to action that needs immediate attention]
12)	“x-hz CRITICALLY revised the manuscript for important intellectual content and gave final approval of the version to be published.” [revising is an important step in publishing, not a statement that lays out a specific call to action that needs immediate attention]
13)	 “we thus state that <a CRUCIAL task in the support to the children is the provision of the necessary information to the parents in order to enhance their involvement>.” [urgent call to provide the necessary information to the parent in order to enhance their involvement]
14)	“beside the fundamental aspects we described about the understanding of the different auditory feedback mechanisms that can contribute to sensori-motor learning, <the development of rigorous—and shared—sound design methodologies is CRUCIAL for grounding these applications>.” [urgent call to the development of rigorous – and shared – sound design methodologies for grounding these applications]
15)	“<how the cerebellum grows and develops, when cell populations have particular vulnerabilities, and how we identify the complications of pathological development, are CRUCIAL questions and fascinating research avenues>.” [urgent call to answer the questions stated above: how the cerebellum grows and develops, when…]
16)	“dentinal tubules are CRUCIAL fine structures in teeth, and have been intensely studied in human dental histology212223and vertebrate paleontology6.” [a results statement that dentinal tubules are important fine structures of teeth, not a statement that lays out a specific call to action that needs immediate attention]
17)	“one CRUCIAL step within the hbv life cycle is the formation of covalently closed circular dna (cccdna), which serves as original template for viral replication with approximately 5–50 cccdna molecules per infected hepatocyte [6].” [a results statement about an important step within the hbv life sycle, not a statement that lays out a specific call to action that needs immediate attention]
18)	“EXAMPLE” [EXAMPLE]
19)
h.	EMPHASIS
1)	“<this provides new EMPHASIS to previous findings that small, man-made features can apparently serve to provide energetic benefits to flying birds> (e.g.” [urgent call to previous findings that small, man-made features can apparently serve to provide energetic benefits to flying birds]
2)	“future studies will seek to differentiate specific antitumor immune responses from those resulting from general immune activation (e.g., cancer cell death due to tnf-α) and will seek to optimize particle-based accumulation of cytokines in the tumor, <with an EMPHASIS on studying dose effects and controlled, sustained presentation of cytokines for an optimal anticancer response with minimal cytotoxicity>.” [urgent call on studying dose effects and controlled, sustained presentation of cytokines for an optimal anticancer response with minimal cytotoxicity]
3)	“participants EMPHASISed the importance of a balanced diet: “i believe you should have a little bit of everything.” [a results statement from participants, not a statement that lays out a specific call to action that needs immediate attention]
4)	“to assess the efficacy of the multicourse writing EMPHASIS intervention, we tested composite scores across the treatment groups.” [a statement about the ‘multicourse writing emphasis intervention’, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
i.	ESSENTIAL
1)	“<accurate worldwide information on the levels and patterns of mortality (deaths) is ESSENTIAL for planning and monitoring global public-health initiatives>.” [urgent call for accurate worldwide information on the levels and patterns of mortality (deaths) for planning and monitoring global public-health initiatives]
2)	“to our knowledge, however, no study has hitherto investigated directly the effects of this nscc inhibitor on avn cellular electrophysiology; <this information is ESSENTIAL for the determination of the compound's utility for studying the physiological role of the ib,na>.” [urgent call to gather this information for the determination of the compound’s (nscc inhibitor of avn cellular electrophysiology) utility for studying the physiological role of the ib.na]
3)	“appropriate accumulation of viral rna in host cells is ESSENTIAL for prosperous production of progeny virions.” [a mechanistic statement that the appropriate accumulation of viral rna in host cells is needed for prosperous production of progeny virions, not a statement that lays out a call to action that needs immediate attention]
4)	“they protect native protein conformation against dehydration stresses by replacing ESSENTIAL water molecules through molecular interaction e.g., hydrogen bonding with amino acids.” [a mechanistic statement about how they protect native protein conformation against dehydration stresses, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
j.	HIGH PRIORITY/ PRIORITY
1)	“<increasing the mutant pool available for screens is of HIGH PRIORITY for the future>.” [urgent call to increase the mutant pool available for screens in the future]
2)	“therefore, <the development of novel delivery systems is at HIGH PRIORITY for the pharmaceutical companies to capture global market>.” [urgent call to develop novel delivery systems for pharmaceutical companies to capture global market]
3)	“survey participants were asked to vote on how they would prioritise research for each uncertainty on a scale of 1 to 5 (1 being not a priority, 5 being a very HIGH PRIORITY).” [survey rating scale, not a statement that lays out a specific call to action that needs immediate attention]
4)	“indicators that were graded as HIGH PRIORITY, frequently recorded, very plausible and will have a large impact or better were included in the final list (average score on grading scale ≥4).” [a methodological statement of what was included in the final list based on scores of priority, not a statement that lays out a specific call to action that needs immediate attention]
5)	“<improving sexual and reproductive health remains a public health PRIORITY in britain (england, scotland, and wales),1as it does globally>.” [urgent call to improve sexual and reproductive health in britain (England, Scotland, and wales) and globally]
6)	“the rate of waning of vaccine-induced protection against influenza is particularly high for <older adults>, one of the groups most at-risk of severe outcomes and <often a top PRIORITY for national vaccination programs>.” [urgent call for older adults to be vaccinated and the target of national vaccination programs]
7)	“a multidisciplinary fmea focus group at the seoul national university hospital clinical trials center selected 6 core clinical trial processes, for which potential failure modes were identified and their risk PRIORITY number (rpn) was assessed.” [assessing ‘risk priority number’ for clinical trial processes, not a statement that lays out a specific call to action that needs immediate attention]
8)	“fr., being the oldest valid genus name in the cordyceps s. s. clade, ranks as the most preferred name over its competing names on the PRIORITY basis.” [an explanation of the preferred name for the oldest valid genus name based on the ‘priority basis’, not a statement that lays out a specific call to action that needs immediate attention]
9)	“EXAMPLE” [EXAMPLE]
10)
k.	IMMEDIATE NEED
1)	“thus, <there is a critical and IMMEDIATE NEED for more sensitive tools than the ctp score to predict survival duration in hcc patients undergoing treatment and in selected patients who are not eligible for enrollment in clinical trials>.” [urgent call for more sensitive tools than the ctp score to predict survival duration in hcc patients undergoing treatment and in selected patients who are not eligible for enrollment in clinical trials]
2)	“<research on development of information leaflets incorporating suitable readability, lay out, and design is the IMMEDIATE NEED that will help pharmacists to offer useful information leaflets to their patients during the counselling>.” [urgent call for research on development of information leaflets incorporating suitable readability, lay out, and design that will help pharmacists to offer useful information leaflets to their patients during the counselling]
3)	“the time is shared based on the greatest IMMEDIATE NEED of support, the child or the parents, and on the nature of the support that is needed.” [how the time is allotted based on the greatest immediate need of support, not a statement that lays out a specific call to action that needs immediate attention]
4)	“she reported that acupuncture helped her IMMEDIATE NEEDs and the diet modification and enemas have contributed to her relief from migraines.” [a patient reported that acupuncture helped her ‘immediate needs’, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
l.	IMPERATIVE
1)	“therefore, <it is IMPERATIVE to develop an effective hiv vaccine able to induce broadly protective immune responses at the viral portal of entry>.” [urgent call to develop an effective hiv vaccine able to induce broadly protective immune responses at the viral portal of entry]
2)	“consequently, <it seems IMPERATIVE that specific immunoassays are needed to confirm the presence of anti-dfs70 antibodies before definitive results are reported to clinicians>.” [urgent call that specific immunoassays are needed to confirm the presence of anti-dfs70 antibodies before definitive results are reported to clinicians]
3)	“because nap2b is expressed in other tissues, it is IMPERATIVE that the inhibitor be non-absorbed and maintained within the intestinal lumen.” [a mechanistic statement that the inhibitor be non-absorbed and maintained within the intestinal lumen, not a statement that lays out a specific call to action that needs immediate attention]
4)	“thus, although type i ifn target genes play an IMPERATIVE role in antiviral defense, they might be detrimental when mounting an immune response to l. monocytogenes.” [a mechanistic statement that type I ifn target genes play an important role in antiviral defense, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
m.	IMPORTANCE/ IMPORTANT/ UTMOST IMPORTANCE
1)	“<of particular IMPORTANCE are differences in the systematic age-misreporting variables across the two censuses and vital registration (separate regressions not shown)>.” [urgent call to understand differences in the systematic age-misreporting variables across the two censuses and vital registration]
2)	“the possibility remains that other arboviruses could also be modified directly by their arthropod vector saliva, and <to elucidate such mechanisms would be of major IMPORTANCE to fully understand and eventually prevent arbovirus transmission>.” [urgent call to elucidate such mechanisms to fully understand and eventually prevent arbovirus transmission]
3)	“<the search for the histone-mark-reading machinery that translates histone modifications into biological processes, such as formation of heterochromatin and antigenic variation is of foremost IMPORTANCE>.” [urgent call to search for the histone-mark-reading machinery that translates histone modification into biological processes, such as formation of heterochromatin and antigenic variation]
4)	“+ = of some IMPORTANCE; +++ = of great importance” [the key to what the ‘+’ and ‘+++’ mean in ranks of importance, not a statement that lays out a specific call to action that needs immediate attention]
5)	“before the IMPORTANCE of cnvs was realized it was well known that copy number changes occur often in cancer.” [a historical statement that before cnvs was well known, the copy number changes was well known, not a statement that lays out a specific call to action that needs immediate attention]
6)	“<simply knowing death rates at specific ages is itself an IMPORTANT descriptor of the epidemiological situation in a population>, given the strong age dependence of major diseases and injuries.” [urgent call to know death rates at specific ages to describe the epidemiological situation in a population]
7)	“therefore, <one of the most IMPORTANT cornerstones to make implementation of such minimally invasive treatments possible is a precise selection of the eligible patients>.” [urgent call to make implementation of such minimally invasive treatments possible, including a precise selection of the eligible patients]
8)	“30. therefore, <it is crucially IMPORTANT to understand the swelling mechanism of plant fibres to improve the performance of the prepared biocomposite analogue>.” [urgent call to understand the swelling mechanism of plant fibres to improve the performance of the prepared biocomposite analogue]
9)	“we found that the overall weighted dose of smoke-free restrictions at home, at church, and at work were significant predictors of quit attempts in the past year, but not of smoking level, after controlling for other IMPORTANT sociodemographic characteristics.” [a results statement with a methodological statement about controlling for other sociodemographic characteristics, not a statement that lays out a specific call to action that needs immediate attention]
10)	“these findings establish an IMPORTANT role for rac1 signaling in mediating structural and behavioral plasticity to cocaine.” [a results statement and their implications for the role of rac1 signaling in mediating structural and behavioral plasticity to cocaine, not a statement that lays out a specific call to action that needs immediate attention]
11)	“furthermore, <bone marrow biopsy and/or needle aspiration is of UTMOST IMPORTANCE to determine the percentage of plasma cells>, which should be less than 5% [1].” [urgent call to determine the percentage of plasma cells from bone marrow biopsy and/or needle aspiration]
12)	“<in order to reduce the dramatic effects of combining phenotypic characters with genotypic characters and obtain a more stable taxonomic system, it is thus of the UTMOST IMPORTANCE to combine dna-sequence based comparative methods with the application of generic names>.” [urgent call to combine dna-sequence based comparative methods with the application of generic names in order to reduce the dramatic effects of combining phenotypic characters with genotypic characters and obtain a more stable taxonomic system]
13)	“of note, the existing discordance between fg and a1c may lead to conflicting results, <underscoring the UTMOST IMPORTANCE of identifying new markers that can consistently identify prediabetic individuals as early as possible for t2d prevention> [13–15].” [urgent call to identify new markers that can consistently identify prediabetic individuals as early as possible for t2d prevention]
14)	“here, it is of UTMOST IMPORTANCE to note that everything in ( i ) and ( ii ) is done in accordance with the spirit of the reactive paradigm, which means that eg—or, equivalently, its two components: t2and tgf⋆—does work by means of only a partial/local view of the environment.” [a note from the authors that everything is done in accordance with the spirit of the reactive paradigm, not a statement that lays out a specific call to action that needs immediate attention]
15)	“indeed, we observed a switch in favor of th1 response in the livers of st2−/−mice, with increased and earlier expression of ifn-γ and il-12, both cytokines of UTMOST IMPORTANCE in the control of infection (22,48–51).” [a results statement based on the most important measures of outcome (control of infection), not a statement that lays out a specific call to action that needs immediate attention]
16)	“EXAMPLE” [EXAMPLE]
17)
n.	OMINOUS
1)	“<recent years have seen an OMINOUS accumulation of reports of ‘totally’ drug-resistant strains, which are not susceptible to any tested drugs>6.” [urgent call to deal with the fact that recent years have seen an accumulation of reports of ‘totally’ drug-resistant strains, which are not susceptible to any tested drugs]
2)	“<sedentary behaviors and tobacco exposure were common among adolescents but OMINOUSly twofold higher among young adults>, suggesting that earlier intervention may circumvent future burdens.” [urgent call to deal with the fact that sedentary behavior and tobacco exposure were twofold higher among young adults than among adolescents]
3)	“however, even with OMINOUS biopsy features the chance of renal recovery exceeded the chance of therapy-related death if treatment includes plasma exchange [12].” [a results statement that people with dangerously weird biopsy features, they still had a chance of therapy-related death, not a statement that lays out a specific call to action that needs immediate attention]
4)	“syncope or near syncope is a particularly OMINOUS feature and should prompt immediate evaluation.” [a general statement about syncope or near syncope that needs immediate evaluation, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
o.	PRESSING NEED
1)	“<there is a PRESSING NEED to create awareness among postgraduates and faculty doing research about ethics, aspects of misconduct and related issues>.” [urgent call to create awareness among postgraduates and faculty doing research about ethics, aspects of misconduct and related issues]
2)	“<there is a severe and PRESSING NEED to develop useful npy related small molecule ligands to conclusively assess npy's role in pathologies, such as those outlined here, as well as to underpin its molecular partners in these settings and to clarify the clinical therapeutic potential of npy signalling pathways>.” [urgent call to develop useful npy related small molecule ligands to conclusively assess npy’s role in pathologies, such as those outlined here, as well as to underpin its molecular partners in these settings and to clarify the clinical therapeutic potential of npy signalling pathways]
3)	“thus, <there is clearly a PRESSING NEED for the development of new, innovative and aggressive approaches to combat this insidious disease>.” [urgent call for the development of new, innovative and aggressive approaches to combat this insidious disease]
4)	“<research that leverages latest multimodal biological measurement technologies with large amounts of healthcare data is in PRESSING NEEDs>.” [urgent call for research that leverages the latest multimodal biological measurement technologies with large amounts of healthcare data]
5)	“<we found the most PRESSING NEED across all use categories is for increased coverage of pdb structures>.” [urgent call to increase coverage of pdb structures]
6)	“our goal in this study was to identify the most PRESSING NEEDs and achievable goals, as perceived by emergency health care personnel, in order to ensure that development programs and available funds are appropriately directed [3].” [the goal of the study includes identifying the most pressing needs of emergency health care personnel, not a statement that lays out a specific call to action that needs immediate attention]
7)	“EXAMPLE” [EXAMPLE]
8)
p.	PARAMOUNT
1)	“<quantifying cellular differentiation, proliferation, and drug responses is PARAMOUNT in elucidating clinical treatments for injuries, pathogenesis, and toxicity>.” [urgent call for quantifying cellular differentiation, proliferation, and drug response to elucidate clinical treatments for injuries, pathogenesis, and toxicity]
2)	“<to apply iot-based wsns to medical care services successfully, ensuring the personal privacy of patients and preventing malicious network intrusion are PARAMOUNT>.” [urgent call to ensure the personal privacy of patients and prevention of malicious network intrusion to apply iot-based wsns to medical care services successfully]
3)	“yet, the curator – instantaneously “feeling” that something was wrong and acting upon this impression although not being able to name a specific reason – is a PARAMOUNT example of what it means to have an intuition being strong enough to act accordingly.” [an example of what it means to have an intuition being strong enough to act accordingly, not a statement that lays out a specific call to action that needs immediate attention]
4)	“the PARAMOUNT difference between fmo and cyp450 is that unlike the latter, the former is not easily induced nor readily inhibited thereby the potential adverse drug-drug interaction may be prevented for drugs predominantly metabolized by the former [7,8].” [a comparison statement of the large differences between fmo and cyp450, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
q.	URGENT/ URGENTLY
1)	“due to its widespread application in communications, radar, etc., <the orthogonal frequency division multiplexing (ofdm) signal has become increasingly URGENT in the field of localization>.” [urgent call to use the orthogonal frequency division multiplexing signal in the field of localization]
2)	“therefore, <it is URGENT to explore more ssr markers to construct high-density linkage maps and identify many more qtl for marker-assisted selection in foxtail millet>.” [urgent call to explore more ssr markers to construct high-density linkage maps and identify many more qtl for marker-associated selection in foxtail millet]
3)	“however, the results of two randomized trials (stability[15] and the solid-timi 52 [16], which were conducted to test whether darapladib reduces cardiovascular events in stable and unstable coronary heart disease) did not demonstrate any beneficial effect on any of the primary endpoints (cardiovascular death, stroke, myocardial infarction, or URGENT coronary artery revascularization).” [a results statement with no beneficial effects on any of the primary endpoints including ‘urgent coronary artery revascularization’, not a statement that lays out a specific call to action that needs immediate attention]
4)	“william rushton, lds, asked if the matter was URGENT.” [a statement of what William Rushton asked: if the matter was urgent?, not a statement that lays out a specific call to action that needs immediate attention]
5)	“<an efficacious hiv vaccine is URGENTLY needed to curb the aids pandemic>.” [urgent call for an efficacious hiv vaccine to curb the aids pandemic]
6)	“however, <the functioning of active management for the benefit of threatened carabid species URGENTLY demands critical evaluation and detailed information>.” [urgent call for critical evaluation and detailed information on the functioning of active management for the benefit of threatened carabid species]
7)	“between april 2010 and april 2013, 52 patients with stanford type a acute aortic dissection (mean age 69.6; 20 men and 32 women) were treated surgically, either URGENTLY or emergently, with hemiarch or arch replacement under deep hypothermic circulatory arrest.” [a results statement that 52 patients had either an urgent or emergent surgery, not a statement that lays out a specific call to action that needs immediate attention]
8)	“three weeks later, he was admitted URGENTLY to our hospital due to generalised abdominal pain and watery diarrhoea.” [a patient statement who needed to be urgently admitted to the hospital, not a statement that lays out a specific call to action that needs immediate attention]
9)	“EXAMPLE” [EXAMPLE]
10)
r.	VITAL
