LEXICAL CUE	SYNONYMS	IGNORANCE TYPE
appear_to_be	appear_to_be	ANOMALY_CURIOUS_FINDING
appearance	appearance	ANOMALY_CURIOUS_FINDING
appeared	appeared	ANOMALY_CURIOUS_FINDING
appeared_to	appeared_to	ANOMALY_CURIOUS_FINDING
appeared_to_be	appeared_to_be	ANOMALY_CURIOUS_FINDING
appears	appears	ANOMALY_CURIOUS_FINDING
appears_to_be	appears_to_be	ANOMALY_CURIOUS_FINDING
approach_that_considers	approach_that_considers	FUTURE_WORK
approximately	approximately	INCOMPLETE_EVIDENCE
are_changing	are_changing	IMPORTANT_CONSIDERATION
are_needed	are_needed	FUTURE_WORK
are_warranted	are_warranted	FUTURE_WORK
argued	argued	INCOMPLETE_EVIDENCE
argues	argues	INCOMPLETE_EVIDENCE
as	as	PROBLEM_COMPLICATION
as_expected	as_expected	INCOMPLETE_EVIDENCE
as_in	as_in	INCOMPLETE_EVIDENCE
as_opposed_to	as_opposed_to	ALTERNATIVE_OPTIONS_CONTROVERSY
as_shown	as_shown	INCOMPLETE_EVIDENCE
as_with	as_with	INCOMPLETE_EVIDENCE
as_with_other_studies	as_with_other_studies	INCOMPLETE_EVIDENCE
asked	asked	EXPLICIT_QUESTION
assessed	assessed	QUESTION_ANSWERED_BY_THIS_WORK
associate	associate	SUPERFICIAL_RELATIONSHIP
associated	associated	SUPERFICIAL_RELATIONSHIP
associated...or	associated.{0,38}or	SUPERFICIAL_RELATIONSHIP
associates	associates	SUPERFICIAL_RELATIONSHIP
association	association	SUPERFICIAL_RELATIONSHIP
associations	associations	SUPERFICIAL_RELATIONSHIP
assumed	assumed	PROBABLE_UNDERSTANDING
assumption	assumption	ALTERNATIVE_OPTIONS_CONTROVERSY
assumptions	assumptions	ALTERNATIVE_OPTIONS_CONTROVERSY
at_least	at_least	PROBABLE_UNDERSTANDING
at_odds	at_odds	ALTERNATIVE_OPTIONS_CONTROVERSY
at_risk	at_risk	IMPORTANT_CONSIDERATION
attention	attention	FUTURE_WORK
attracted_attention	attracted_attention	INCOMPLETE_EVIDENCE
attracted_increasing_interest	attracted_increasing_interest	INCOMPLETE_EVIDENCE
attributed	attributed	SUPERFICIAL_RELATIONSHIP
available_evidence	available_evidence	INCOMPLETE_EVIDENCE
aware	aware	IMPORTANT_CONSIDERATION
balanced_against	balanced_against	ALTERNATIVE_OPTIONS_CONTROVERSY
balanced_againts	balanced_againts	ALTERNATIVE_OPTIONS_CONTROVERSY
based_on	based_on	SUPERFICIAL_RELATIONSHIP
be_examined	be_examined	INCOMPLETE_EVIDENCE
because	because	PROBLEM_COMPLICATION
belief	belief	INCOMPLETE_EVIDENCE
beliefs	beliefs	ALTERNATIVE_OPTIONS_CONTROVERSY
believe	believe	INCOMPLETE_EVIDENCE
believed	believed	INCOMPLETE_EVIDENCE
better	better	INCOMPLETE_EVIDENCE
better_understand	better_understand	INCOMPLETE_EVIDENCE
better_understanding	better_understanding	INCOMPLETE_EVIDENCE
bias	bias	INCOMPLETE_EVIDENCE
biased	biased	PROBLEM_COMPLICATION
borne_in_mind	borne_in_mind	IMPORTANT_CONSIDERATION
burden	burden	PROBLEM_COMPLICATION
burdens	burdens	PROBLEM_COMPLICATION
but_not	but_not	FULL_UNKNOWN
but_only	but_only	ANOMALY_CURIOUS_FINDING
but_others	but_others	ALTERNATIVE_OPTIONS_CONTROVERSY
call	call	IMPORTANT_CONSIDERATION
call_for_action	call_for_action	IMPORTANT_CONSIDERATION
call_to_act	call_to_act	IMPORTANT_CONSIDERATION
calls_into_question	calls_into_question	ALTERNATIVE_OPTIONS_CONTROVERSY
can	can	INCOMPLETE_EVIDENCE
can_be_concluded	can_be_concluded	PROBABLE_UNDERSTANDING
can_be_regarded_as	can_be_regarded_as	INCOMPLETE_EVIDENCE
candidate	candidate	INCOMPLETE_EVIDENCE
candidates	candidates	INCOMPLETE_EVIDENCE
cannot_agree	cannot_agree	ALTERNATIVE_OPTIONS_CONTROVERSY
cannot_be	cannot_be	DIFFICULT_TASK
cannot_be_argued_absolutely	cannot_be_argued_absolutely	INCOMPLETE_EVIDENCE
cannot_be_deemed	cannot_be_deemed	DIFFICULT_TASK
cannot_be_overemphasized	cannot_be_overemphasized	IMPORTANT_CONSIDERATION
cannot_exclude	cannot_exclude	INCOMPLETE_EVIDENCE
cannot_overlook	cannot_overlook	IMPORTANT_CONSIDERATION
cannot_rule_out	cannot_rule_out	ALTERNATIVE_OPTIONS_CONTROVERSY
catastrophic	catastrophic	IMPORTANT_CONSIDERATION
cause_for_concern	cause_for_concern	IMPORTANT_CONSIDERATION
caution	caution	INCOMPLETE_EVIDENCE
center_of_attention	center_of_attention	INCOMPLETE_EVIDENCE
challenge	challenge	DIFFICULT_TASK
challenges	challenges	DIFFICULT_TASK
challenging	challenging	DIFFICULT_TASK
claimed	claimed	INCOMPLETE_EVIDENCE
claims	claims	ALTERNATIVE_OPTIONS_CONTROVERSY
clearly_demonstrating	clearly_demonstrating	PROBABLE_UNDERSTANDING
closer_scrutiny	closer_scrutiny	INCOMPLETE_EVIDENCE
clue	clue	INCOMPLETE_EVIDENCE
clues	clues	INCOMPLETE_EVIDENCE
coincide	coincide	SUPERFICIAL_RELATIONSHIP
coincides	coincides	SUPERFICIAL_RELATIONSHIP
compelling_evidence	compelling_evidence	INCOMPLETE_EVIDENCE
complex	complex	DIFFICULT_TASK
complexities	complexities	DIFFICULT_TASK
complexity	complexity	DIFFICULT_TASK
complicated	complicated	DIFFICULT_TASK
complicating	complicating	DIFFICULT_TASK
complication	complication	PROBLEM_COMPLICATION
complications	complications	PROBLEM_COMPLICATION
conceivable	conceivable	PROBABLE_UNDERSTANDING
conceivably	conceivably	INCOMPLETE_EVIDENCE
concern	concern	PROBLEM_COMPLICATION
concerned	concerned	IMPORTANT_CONSIDERATION
concerning	concerning	PROBLEM_COMPLICATION
concerns	concerns	PROBLEM_COMPLICATION
concluded	concluded	INCOMPLETE_EVIDENCE
concluding	concluding	PROBABLE_UNDERSTANDING
conclusion	conclusion	INCOMPLETE_EVIDENCE
confirm	confirm	INCOMPLETE_EVIDENCE
confirm_findings	confirm_findings	INCOMPLETE_EVIDENCE
confirm_previous_findings	confirm_previous_findings	INCOMPLETE_EVIDENCE
confirmation	confirmation	INCOMPLETE_EVIDENCE
confirmed	confirmed	INCOMPLETE_EVIDENCE
conflict	conflict	ALTERNATIVE_OPTIONS_CONTROVERSY
conflicted	conflicted	ALTERNATIVE_OPTIONS_CONTROVERSY
conflicting	conflicting	ALTERNATIVE_OPTIONS_CONTROVERSY
confounded	confounded	DIFFICULT_TASK
confounder	confounder	PROBLEM_COMPLICATION
confounders	confounders	PROBLEM_COMPLICATION
confounding	confounding	PROBLEM_COMPLICATION
confounding_factors	confounding_factors	PROBLEM_COMPLICATION
confused	confused	DIFFICULT_TASK
conjecture	conjecture	INCOMPLETE_EVIDENCE
connected	connected	SUPERFICIAL_RELATIONSHIP
connection	connection	SUPERFICIAL_RELATIONSHIP
connections	connections	SUPERFICIAL_RELATIONSHIP
consensus	consensus	PROBABLE_UNDERSTANDING
consequences	consequences	PROBLEM_COMPLICATION
consequently	consequently	PROBABLE_UNDERSTANDING
consider	consider	FUTURE_WORK
considerable	considerable	ANOMALY_CURIOUS_FINDING
considerable...relevance	considerable.{0,13}relevance	IMPORTANT_CONSIDERATION
considerable_efforts	considerable_efforts	INCOMPLETE_EVIDENCE
considerable_scientific_evidence	considerable_scientific_evidence	INCOMPLETE_EVIDENCE
consideration	consideration	FUTURE_WORK
considerations	considerations	FUTURE_WORK
considered	considered	FUTURE_WORK
considered_reliable	considered_reliable	INCOMPLETE_EVIDENCE
considering	considering	FUTURE_WORK
consistency	consistency	INCOMPLETE_EVIDENCE
consistent	consistent	INCOMPLETE_EVIDENCE
consistently	consistently	PROBABLE_UNDERSTANDING
continue_to_explore	continue_to_explore	FUTURE_WORK
continued_studies	continued_studies	FUTURE_WORK
continuing_efforts	continuing_efforts	FUTURE_WORK
continuing_interest	continuing_interest	INCOMPLETE_EVIDENCE
contradicting	contradicting	ALTERNATIVE_OPTIONS_CONTROVERSY
contradictory	contradictory	ALTERNATIVE_OPTIONS_CONTROVERSY
contrary	contrary	ALTERNATIVE_OPTIONS_CONTROVERSY
contrasting	contrasting	ALTERNATIVE_OPTIONS_CONTROVERSY
contribute	contribute	SUPERFICIAL_RELATIONSHIP
contributes	contributes	SUPERFICIAL_RELATIONSHIP
contribution	contribution	SUPERFICIAL_RELATIONSHIP
contributory	contributory	SUPERFICIAL_RELATIONSHIP
controversial	controversial	ALTERNATIVE_OPTIONS_CONTROVERSY
controversies	controversies	ALTERNATIVE_OPTIONS_CONTROVERSY
controversy	controversy	ALTERNATIVE_OPTIONS_CONTROVERSY
converge	converge	SUPERFICIAL_RELATIONSHIP
conversely	conversely	ALTERNATIVE_OPTIONS_CONTROVERSY
correlate	correlate	SUPERFICIAL_RELATIONSHIP
correlated	correlated	SUPERFICIAL_RELATIONSHIP
correlates	correlates	SUPERFICIAL_RELATIONSHIP
correlation	correlation	SUPERFICIAL_RELATIONSHIP
correlations	correlations	SUPERFICIAL_RELATIONSHIP
corresponded	corresponded	SUPERFICIAL_RELATIONSHIP
could	could	INCOMPLETE_EVIDENCE
could...and_or	could.{0,50}and_or	INCOMPLETE_EVIDENCE
could_be	could_be	INCOMPLETE_EVIDENCE
could_be_included_in_other_studies	could_be_included_in_other_studies	FUTURE_WORK
could_not	could_not	DIFFICULT_TASK
could_not_be_assessed	could_not_be_assessed	DIFFICULT_TASK
could_not_determine	could_not_determine	FULL_UNKNOWN
counterintuitive	counterintuitive	ANOMALY_CURIOUS_FINDING
countervailing	countervailing	ALTERNATIVE_OPTIONS_CONTROVERSY
credited	credited	INCOMPLETE_EVIDENCE
crisis	crisis	IMPORTANT_CONSIDERATION
critical	critical	IMPORTANT_CONSIDERATION
critically	critically	IMPORTANT_CONSIDERATION
criticised	criticised	ALTERNATIVE_OPTIONS_CONTROVERSY
criticized	criticized	ALTERNATIVE_OPTIONS_CONTROVERSY
crucial	crucial	IMPORTANT_CONSIDERATION
crucially	crucially	IMPORTANT_CONSIDERATION
curious_finding	curious_finding	ANOMALY_CURIOUS_FINDING
curiously	curiously	ANOMALY_CURIOUS_FINDING
current_research_provides_evidence	current_research_provides_evidence	INCOMPLETE_EVIDENCE
current_studies	current_studies	INCOMPLETE_EVIDENCE
data...are_sparse	data.{0,14}are_sparse	INCOMPLETE_EVIDENCE
data...is_sparse	data.{0,11}is_sparse	INCOMPLETE_EVIDENCE
data...limited	data.{0,57}limited	INCOMPLETE_EVIDENCE
data_are_limited	data_are_limited	INCOMPLETE_EVIDENCE
data_gap	data_gap	FULL_UNKNOWN
data_is_lacking	data_is_lacking	INCOMPLETE_EVIDENCE
debate	debate	ALTERNATIVE_OPTIONS_CONTROVERSY
debated	debated	ALTERNATIVE_OPTIONS_CONTROVERSY
defining	defining	INCOMPLETE_EVIDENCE
demonstrated	demonstrated	INCOMPLETE_EVIDENCE
dependent	dependent	SUPERFICIAL_RELATIONSHIP
depending_on	depending_on	ALTERNATIVE_OPTIONS_CONTROVERSY
depends_on	depends_on	SUPERFICIAL_RELATIONSHIP
designed_to	designed_to	QUESTION_ANSWERED_BY_THIS_WORK
despite	despite	ANOMALY_CURIOUS_FINDING
determinant	determinant	SUPERFICIAL_RELATIONSHIP
determinants	determinants	SUPERFICIAL_RELATIONSHIP
detrimental	detrimental	IMPORTANT_CONSIDERATION
did_not	did_not	INCOMPLETE_EVIDENCE
did_not_allow	did_not_allow	DIFFICULT_TASK
did_not_find	did_not_find	INCOMPLETE_EVIDENCE
did_not_yield	did_not_yield	INCOMPLETE_EVIDENCE
differ	differ	ALTERNATIVE_OPTIONS_CONTROVERSY
differed	differed	DIFFICULT_TASK
differences	differences	ALTERNATIVE_OPTIONS_CONTROVERSY
different	different	ALTERNATIVE_OPTIONS_CONTROVERSY
difficult	difficult	DIFFICULT_TASK
difficulties	difficulties	DIFFICULT_TASK
difficulty	difficulty	DIFFICULT_TASK
dilemmas	dilemmas	ALTERNATIVE_OPTIONS_CONTROVERSY
directed_towards	directed_towards	IMPORTANT_CONSIDERATION
directions_for_future_research	directions_for_future_research	FUTURE_WORK
directive	directive	IMPORTANT_CONSIDERATION
disappointingly	disappointingly	ANOMALY_CURIOUS_FINDING
disconnect	disconnect	ALTERNATIVE_OPTIONS_CONTROVERSY
discord	discord	ALTERNATIVE_OPTIONS_CONTROVERSY
discordance	discordance	ALTERNATIVE_OPTIONS_CONTROVERSY
discovered	discovered	INCOMPLETE_EVIDENCE
discrepancies	discrepancies	ALTERNATIVE_OPTIONS_CONTROVERSY
discrepancy	discrepancy	ALTERNATIVE_OPTIONS_CONTROVERSY
disparities	disparities	ALTERNATIVE_OPTIONS_CONTROVERSY
disparity	disparity	ANOMALY_CURIOUS_FINDING
disproportionately	disproportionately	ANOMALY_CURIOUS_FINDING
dispute	dispute	ALTERNATIVE_OPTIONS_CONTROVERSY
disrupt	disrupt	PROBLEM_COMPLICATION
dissatisfaction	dissatisfaction	PROBLEM_COMPLICATION
do_not_fully	do_not_fully	INCOMPLETE_EVIDENCE
do_not_support	do_not_support	ALTERNATIVE_OPTIONS_CONTROVERSY
does	does	EXPLICIT_QUESTION
does_not_occur	does_not_occur	DIFFICULT_TASK
dont_know	dont_know	FULL_UNKNOWN
double-burden	double-burden	IMPORTANT_CONSIDERATION
doubt	doubt	ALTERNATIVE_OPTIONS_CONTROVERSY
drawback	drawback	PROBLEM_COMPLICATION
driving	driving	SUPERFICIAL_RELATIONSHIP
due...to	due.{0,11}to	PROBLEM_COMPLICATION
due_to	due_to	PROBLEM_COMPLICATION
earlier_studies	earlier_studies	INCOMPLETE_EVIDENCE
easily_confused	easily_confused	DIFFICULT_TASK
effect	effect	SUPERFICIAL_RELATIONSHIP
effects	effects	SUPERFICIAL_RELATIONSHIP
either	either	ALTERNATIVE_OPTIONS_CONTROVERSY
eludes	eludes	FULL_UNKNOWN
emergency	emergency	IMPORTANT_CONSIDERATION
emerges	emerges	INCOMPLETE_EVIDENCE
emerging	emerging	INCOMPLETE_EVIDENCE
emerging_field	emerging_field	INCOMPLETE_EVIDENCE
emerging_knowledge	emerging_knowledge	INCOMPLETE_EVIDENCE
emerging_research	emerging_research	INCOMPLETE_EVIDENCE
emphasis	emphasis	IMPORTANT_CONSIDERATION
emphasising	emphasising	IMPORTANT_CONSIDERATION
emphasize	emphasize	IMPORTANT_CONSIDERATION
empirical_support	empirical_support	INCOMPLETE_EVIDENCE
encourage	encourage	FUTURE_WORK
encourage_more_research	encourage_more_research	FUTURE_WORK
encouraged	encouraged	FUTURE_WORK
encourages...research	encourages.{0,11}research	FUTURE_WORK
equivocal	equivocal	ALTERNATIVE_OPTIONS_CONTROVERSY
error	error	PROBLEM_COMPLICATION
errors	errors	PROBLEM_COMPLICATION
essential	essential	IMPORTANT_CONSIDERATION
estimate	estimate	INCOMPLETE_EVIDENCE
estimated	estimated	INCOMPLETE_EVIDENCE
estimates	estimates	INCOMPLETE_EVIDENCE
even	even	ANOMALY_CURIOUS_FINDING
even_so	even_so	ANOMALY_CURIOUS_FINDING
evidence-based	evidence-based	INCOMPLETE_EVIDENCE
evidence...is_scarce	evidence.{0,31}is_scarce	INCOMPLETE_EVIDENCE
evidence...limited	evidence.{0,170}limited	INCOMPLETE_EVIDENCE
evidence...weaker	evidence.{0,20}weaker	INCOMPLETE_EVIDENCE
evidence_base	evidence_base	INCOMPLETE_EVIDENCE
evidence_is_accumulating	evidence_is_accumulating	INCOMPLETE_EVIDENCE
evidence_is_mounting	evidence_is_mounting	INCOMPLETE_EVIDENCE
evidence_to_support	evidence_to_support	INCOMPLETE_EVIDENCE
examine	examine	QUESTION_ANSWERED_BY_THIS_WORK
examined	examined	QUESTION_ANSWERED_BY_THIS_WORK
exciting	exciting	ANOMALY_CURIOUS_FINDING
exhorted	exhorted	IMPORTANT_CONSIDERATION
existing_data	existing_data	INCOMPLETE_EVIDENCE
existing_evidence	existing_evidence	INCOMPLETE_EVIDENCE
existing_literature	existing_literature	INCOMPLETE_EVIDENCE
expect	expect	FUTURE_PREDICTION
expected	expected	FUTURE_PREDICTION
experimental_evidence	experimental_evidence	INCOMPLETE_EVIDENCE
explosion_of_knowledge	explosion_of_knowledge	INCOMPLETE_EVIDENCE
failed	failed	DIFFICULT_TASK
failed_to_reveal	failed_to_reveal	INCOMPLETE_EVIDENCE
failure	failure	INCOMPLETE_EVIDENCE
fairly_consistent	fairly_consistent	INCOMPLETE_EVIDENCE
falling_short	falling_short	PROBLEM_COMPLICATION
false_positives	false_positives	PROBLEM_COMPLICATION
far_from_being_unraveled	far_from_being_unraveled	FULL_UNKNOWN
far_from_understanding	far_from_understanding	INCOMPLETE_EVIDENCE
feasible	feasible	PROBABLE_UNDERSTANDING
few	few	INCOMPLETE_EVIDENCE
few...options	few.{0,13}options	INCOMPLETE_EVIDENCE
few...studies	few.{0,29}studies	INCOMPLETE_EVIDENCE
few_studies	few_studies	INCOMPLETE_EVIDENCE
fewer...than...predicted	fewer.{0,8}than.{0,4}predicted	ANOMALY_CURIOUS_FINDING
first	first	INCOMPLETE_EVIDENCE
first_data	first_data	INCOMPLETE_EVIDENCE
first_study	first_study	INCOMPLETE_EVIDENCE
first_time	first_time	INCOMPLETE_EVIDENCE
fits	fits	SUPERFICIAL_RELATIONSHIP
focus	focus	QUESTION_ANSWERED_BY_THIS_WORK
focuses	focuses	QUESTION_ANSWERED_BY_THIS_WORK
focusing	focusing	QUESTION_ANSWERED_BY_THIS_WORK
for_some_time	for_some_time	INCOMPLETE_EVIDENCE
for_this_reason	for_this_reason	PROBABLE_UNDERSTANDING
foreseen	foreseen	FUTURE_PREDICTION
found	found	INCOMPLETE_EVIDENCE
found_evidence	found_evidence	INCOMPLETE_EVIDENCE
found_to_be	found_to_be	ANOMALY_CURIOUS_FINDING
frequently_discussed	frequently_discussed	INCOMPLETE_EVIDENCE
further	further	INCOMPLETE_EVIDENCE
further...but	further.{0,29}but	ANOMALY_CURIOUS_FINDING
further...studies	further.{0,18}studies	FUTURE_WORK
further_avenues	further_avenues	FUTURE_WORK
further_consideration	further_consideration	FUTURE_WORK
further_evidence	further_evidence	INCOMPLETE_EVIDENCE
further_investigation	further_investigation	FUTURE_WORK
further_investigations	further_investigations	FUTURE_WORK
further_questions	further_questions	FUTURE_WORK
further_research	further_research	FUTURE_WORK
further_scientific_research	further_scientific_research	FUTURE_WORK
further_studied	further_studied	FUTURE_WORK
further_studies	further_studies	FUTURE_WORK
further_study	further_study	FUTURE_WORK
further_substantiated	further_substantiated	INCOMPLETE_EVIDENCE
further_testing	further_testing	FUTURE_WORK
further_trials	further_trials	FUTURE_WORK
further_work	further_work	FUTURE_WORK
furthered_our_understanding	furthered_our_understanding	INCOMPLETE_EVIDENCE
future	future	FUTURE_WORK
future...research	future.{0,31}research	FUTURE_WORK
future...trials_are_needed	future.{0,40}trials_are_needed	FUTURE_WORK
future_analyses	future_analyses	FUTURE_WORK
future_directions	future_directions	FUTURE_WORK
future_intervention	future_intervention	FUTURE_WORK
future_interventions	future_interventions	FUTURE_WORK
future_investigations	future_investigations	FUTURE_WORK
future_options	future_options	FUTURE_WORK
future_prediction	future_prediction	FUTURE_OPPORTUNITIES
future_research	future_research	FUTURE_WORK
future_research_is_needed	future_research_is_needed	FUTURE_WORK
future_studies	future_studies	FUTURE_WORK
future_translational_studies	future_translational_studies	FUTURE_WORK
future_trials	future_trials	FUTURE_WORK
future_work	future_work	FUTURE_OPPORTUNITIES
gap	gap	FULL_UNKNOWN
gap_in_knowledge	gap_in_knowledge	FULL_UNKNOWN
gaps_in_current_knowledge	gaps_in_current_knowledge	FULL_UNKNOWN
gaps_in_knowledge	gaps_in_knowledge	FULL_UNKNOWN
gaps_in_our_knowledge	gaps_in_our_knowledge	FULL_UNKNOWN
generally	generally	PROBABLE_UNDERSTANDING
generally_thought	generally_thought	INCOMPLETE_EVIDENCE
given	given	INCOMPLETE_EVIDENCE
global_public_health_problems	global_public_health_problems	IMPORTANT_CONSIDERATION
goal	goal	QUESTION_ANSWERED_BY_THIS_WORK
goals	goals	IMPORTANT_CONSIDERATION
greater_understanding	greater_understanding	INCOMPLETE_EVIDENCE
growing	growing	INCOMPLETE_EVIDENCE
growing_agreement	growing_agreement	INCOMPLETE_EVIDENCE
growing_body_of_literature	growing_body_of_literature	INCOMPLETE_EVIDENCE
growing_evidence	growing_evidence	INCOMPLETE_EVIDENCE
growing_interest	growing_interest	INCOMPLETE_EVIDENCE
hampering	hampering	DIFFICULT_TASK
hard-to-reach	hard-to-reach	DIFFICULT_TASK
has...been	has.{0,6}been	INCOMPLETE_EVIDENCE
has_been	has_been	INCOMPLETE_EVIDENCE
has_been...challenged	has_been.{0,10}challenged	ALTERNATIVE_OPTIONS_CONTROVERSY
has_been_demonstrated	has_been_demonstrated	INCOMPLETE_EVIDENCE
has_been_found	has_been_found	INCOMPLETE_EVIDENCE
has_been_lacking	has_been_lacking	FULL_UNKNOWN
has_been_mounting_evidence	has_been_mounting_evidence	INCOMPLETE_EVIDENCE
has_been_noted	has_been_noted	ANOMALY_CURIOUS_FINDING
has_been_questioned	has_been_questioned	ALTERNATIVE_OPTIONS_CONTROVERSY
has_been_suggested	has_been_suggested	INCOMPLETE_EVIDENCE
has_not_been_adequately_investigated	has_not_been_adequately_investigated	FULL_UNKNOWN
has_not_been_established_so_far	has_not_been_established_so_far	FULL_UNKNOWN
has_not_been_reported	has_not_been_reported	FULL_UNKNOWN
has_not_been_rigorously_evaluated	has_not_been_rigorously_evaluated	FULL_UNKNOWN
has_not_been_rigorously_studied	has_not_been_rigorously_studied	FULL_UNKNOWN
has_not_been_well_characterized	has_not_been_well_characterized	FULL_UNKNOWN
has_not_been_widely_studied	has_not_been_widely_studied	INCOMPLETE_EVIDENCE
has_not_occurred	has_not_occurred	DIFFICULT_TASK
has_not_yet_been_comprehensively_evaluated	has_not_yet_been_comprehensively_evaluated	FULL_UNKNOWN
has_recently_been	has_recently_been	INCOMPLETE_EVIDENCE
has_repeatedly_been	has_repeatedly_been	INCOMPLETE_EVIDENCE
has_seen	has_seen	INCOMPLETE_EVIDENCE
has_to_be	has_to_be	IMPORTANT_CONSIDERATION
has_to_be_established	has_to_be_established	FUTURE_WORK
has_yet_to_be_determined	has_yet_to_be_determined	FULL_UNKNOWN
have...been	have.{0,13}been	INCOMPLETE_EVIDENCE
have_also_been_found	have_also_been_found	INCOMPLETE_EVIDENCE
have_been	have_been	INCOMPLETE_EVIDENCE
have_been_reported	have_been_reported	INCOMPLETE_EVIDENCE
have_been_shown	have_been_shown	INCOMPLETE_EVIDENCE
have_not_been_firmly_established	have_not_been_firmly_established	FULL_UNKNOWN
have_not_been_fully_identified	have_not_been_fully_identified	INCOMPLETE_EVIDENCE
have_not_been_identified	have_not_been_identified	FULL_UNKNOWN
have_not_been_studied	have_not_been_studied	FULL_UNKNOWN
have_not_been_well_studied	have_not_been_well_studied	INCOMPLETE_EVIDENCE
have_reported	have_reported	INCOMPLETE_EVIDENCE
have_shown	have_shown	INCOMPLETE_EVIDENCE
have_to_be	have_to_be	IMPORTANT_CONSIDERATION
having_been_shown	having_been_shown	INCOMPLETE_EVIDENCE
hence	hence	PROBABLE_UNDERSTANDING
here	here	QUESTION_ANSWERED_BY_THIS_WORK
here...investigated	here.{0,5}investigated	QUESTION_ANSWERED_BY_THIS_WORK
heterogeneity	heterogeneity	DIFFICULT_TASK
heterogeneous	heterogeneous	DIFFICULT_TASK
high_index_of_suspicion	high_index_of_suspicion	INCOMPLETE_EVIDENCE
high_priority	high_priority	IMPORTANT_CONSIDERATION
highly...relevant	highly.{0,17}relevant	IMPORTANT_CONSIDERATION
highly_recommended	highly_recommended	IMPORTANT_CONSIDERATION
hint	hint	INCOMPLETE_EVIDENCE
hope_to	hope_to	FUTURE_WORK
how	how	EXPLICIT_QUESTION
however	however	ALTERNATIVE_OPTIONS_CONTROVERSY
hypotheses	hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
hypothesis	hypothesis	INCOMPLETE_EVIDENCE
hypothesised	hypothesised	INCOMPLETE_EVIDENCE
hypothesize	hypothesize	INCOMPLETE_EVIDENCE
hypothesized	hypothesized	INCOMPLETE_EVIDENCE
hypothetical_arguments	hypothetical_arguments	INCOMPLETE_EVIDENCE
idea	idea	INCOMPLETE_EVIDENCE
ideal	ideal	IMPORTANT_CONSIDERATION
if	if	ALTERNATIVE_OPTIONS_CONTROVERSY
if...or...or	if.{0,62}or.{0,35}or	ALTERNATIVE_OPTIONS_CONTROVERSY
if_confirmed	if_confirmed	FUTURE_PREDICTION
if_so	if_so	FUTURE_PREDICTION
illustrates	illustrates	INCOMPLETE_EVIDENCE
immediate_need	immediate_need	IMPORTANT_CONSIDERATION
impact	impact	SUPERFICIAL_RELATIONSHIP
