LEXICAL CUE	SYNONYMS	IGNORANCE TYPE
error	error	PROBLEM_COMPLICATION
errors	errors	PROBLEM_COMPLICATION
essential	essential	IMPORTANT_CONSIDERATION
estimated	estimated	INCOMPLETE_EVIDENCE
even	even	ANOMALY_CURIOUS_FINDING
evidence-based	evidence-based	INCOMPLETE_EVIDENCE
evidence...is_scarce	evidence.{0,31}is_scarce	INCOMPLETE_EVIDENCE
evidence...limited	evidence.{0,170}limited	INCOMPLETE_EVIDENCE
evidence...weaker	evidence.{0,20}weaker	INCOMPLETE_EVIDENCE
evidence_base	evidence_base	INCOMPLETE_EVIDENCE
evidence_is_accumulating	evidence_is_accumulating	INCOMPLETE_EVIDENCE
evidence_is_mounting	evidence_is_mounting	INCOMPLETE_EVIDENCE
evidence_to_support	evidence_to_support	INCOMPLETE_EVIDENCE
examine	examine	QUESTION_ANSWERED_BY_THIS_WORK
examined	examined	QUESTION_ANSWERED_BY_THIS_WORK
exhorted	exhorted	IMPORTANT_CONSIDERATION
existing_data	existing_data	INCOMPLETE_EVIDENCE
existing_evidence	existing_evidence	INCOMPLETE_EVIDENCE
existing_literature	existing_literature	INCOMPLETE_EVIDENCE
expect	expect	FUTURE_PREDICTION
expected	expected	FUTURE_PREDICTION
experimental_evidence	experimental_evidence	INCOMPLETE_EVIDENCE
explosion_of_knowledge	explosion_of_knowledge	INCOMPLETE_EVIDENCE
failed_to_reveal	failed_to_reveal	INCOMPLETE_EVIDENCE
failure	failure	INCOMPLETE_EVIDENCE
fairly_consistent	fairly_consistent	INCOMPLETE_EVIDENCE
far_from_being_unraveled	far_from_being_unraveled	FULL_UNKNOWN
far_from_understanding	far_from_understanding	INCOMPLETE_EVIDENCE
feasible	feasible	PROBABLE_UNDERSTANDING
few	few	INCOMPLETE_EVIDENCE
few...options	few.{0,13}options	INCOMPLETE_EVIDENCE
few...studies	few.{0,29}studies	INCOMPLETE_EVIDENCE
few_studies	few_studies	INCOMPLETE_EVIDENCE
first	first	INCOMPLETE_EVIDENCE
first_data	first_data	INCOMPLETE_EVIDENCE
first_study	first_study	INCOMPLETE_EVIDENCE
first_time	first_time	INCOMPLETE_EVIDENCE
focus	focus	QUESTION_ANSWERED_BY_THIS_WORK
focusing	focusing	QUESTION_ANSWERED_BY_THIS_WORK
foreseen	foreseen	FUTURE_PREDICTION
found_evidence	found_evidence	INCOMPLETE_EVIDENCE
found_to_be	found_to_be	ANOMALY_CURIOUS_FINDING
further	further	INCOMPLETE_EVIDENCE
further...but	further.{0,29}but	ANOMALY_CURIOUS_FINDING
further_avenues	further_avenues	FUTURE_WORK
further_consideration	further_consideration	FUTURE_WORK
further_evidence	further_evidence	INCOMPLETE_EVIDENCE
further_investigation	further_investigation	FUTURE_WORK
further_investigations	further_investigations	FUTURE_WORK
further_research	further_research	FUTURE_WORK
further_scientific_research	further_scientific_research	FUTURE_WORK
further_studied	further_studied	FUTURE_WORK
further_studies	further_studies	FUTURE_WORK
further_study	further_study	FUTURE_WORK
further_substantiated	further_substantiated	INCOMPLETE_EVIDENCE
further_testing	further_testing	FUTURE_WORK
further_trials	further_trials	FUTURE_WORK
further_work	further_work	FUTURE_WORK
furthered_our_understanding	furthered_our_understanding	INCOMPLETE_EVIDENCE
future	future	FUTURE_WORK
future...research	future.{0,31}research	FUTURE_WORK
future...trials_are_needed	future.{0,40}trials_are_needed	FUTURE_WORK
future_analyses	future_analyses	FUTURE_WORK
future_directions	future_directions	FUTURE_WORK
future_intervention	future_intervention	FUTURE_WORK
future_interventions	future_interventions	FUTURE_WORK
future_investigations	future_investigations	FUTURE_WORK
future_options	future_options	FUTURE_WORK
future_prediction	future_prediction	FUTURE_OPPORTUNITIES
future_research	future_research	FUTURE_WORK
future_research_is_needed	future_research_is_needed	FUTURE_WORK
future_studies	future_studies	FUTURE_WORK
future_translational_studies	future_translational_studies	FUTURE_WORK
future_trials	future_trials	FUTURE_WORK
future_work	future_work	FUTURE_OPPORTUNITIES
gap	gap	FULL_UNKNOWN
gap_in_knowledge	gap_in_knowledge	FULL_UNKNOWN
gaps_in_current_knowledge	gaps_in_current_knowledge	FULL_UNKNOWN
gaps_in_knowledge	gaps_in_knowledge	FULL_UNKNOWN
gaps_in_our_knowledge	gaps_in_our_knowledge	FULL_UNKNOWN
generally	generally	PROBABLE_UNDERSTANDING
generally_thought	generally_thought	INCOMPLETE_EVIDENCE
goal	goal	QUESTION_ANSWERED_BY_THIS_WORK
growing	growing	INCOMPLETE_EVIDENCE
growing_agreement	growing_agreement	INCOMPLETE_EVIDENCE
growing_body_of_literature	growing_body_of_literature	INCOMPLETE_EVIDENCE
growing_evidence	growing_evidence	INCOMPLETE_EVIDENCE
growing_interest	growing_interest	INCOMPLETE_EVIDENCE
hard-to-reach	hard-to-reach	DIFFICULT_TASK
has...been	has.{0,6}been	INCOMPLETE_EVIDENCE
has_been	has_been	INCOMPLETE_EVIDENCE
has_been...challenged	has_been.{0,10}challenged	ALTERNATIVE_OPTIONS_CONTROVERSY
has_been_demonstrated	has_been_demonstrated	INCOMPLETE_EVIDENCE
has_been_found	has_been_found	INCOMPLETE_EVIDENCE
has_been_lacking	has_been_lacking	FULL_UNKNOWN
has_been_mounting_evidence	has_been_mounting_evidence	INCOMPLETE_EVIDENCE
has_been_questioned	has_been_questioned	ALTERNATIVE_OPTIONS_CONTROVERSY
has_been_suggested	has_been_suggested	INCOMPLETE_EVIDENCE
has_not_been_adequately_investigated	has_not_been_adequately_investigated	FULL_UNKNOWN
has_not_been_established_so_far	has_not_been_established_so_far	FULL_UNKNOWN
has_not_been_reported	has_not_been_reported	FULL_UNKNOWN
has_not_been_rigorously_evaluated	has_not_been_rigorously_evaluated	FULL_UNKNOWN
has_not_been_rigorously_studied	has_not_been_rigorously_studied	FULL_UNKNOWN
has_not_been_well_characterized	has_not_been_well_characterized	FULL_UNKNOWN
has_not_been_widely_studied	has_not_been_widely_studied	INCOMPLETE_EVIDENCE
has_not_occurred	has_not_occurred	DIFFICULT_TASK
has_not_yet_been_comprehensively_evaluated	has_not_yet_been_comprehensively_evaluated	FULL_UNKNOWN
has_recently_been	has_recently_been	INCOMPLETE_EVIDENCE
has_repeatedly_been	has_repeatedly_been	INCOMPLETE_EVIDENCE
has_seen	has_seen	INCOMPLETE_EVIDENCE
has_to_be	has_to_be	IMPORTANT_CONSIDERATION
has_to_be_established	has_to_be_established	FUTURE_WORK
has_yet_to_be_determined	has_yet_to_be_determined	FULL_UNKNOWN
have...been	have.{0,13}been	INCOMPLETE_EVIDENCE
have_also_been_found	have_also_been_found	INCOMPLETE_EVIDENCE
have_been	have_been	INCOMPLETE_EVIDENCE
have_been_reported	have_been_reported	INCOMPLETE_EVIDENCE
have_been_shown	have_been_shown	INCOMPLETE_EVIDENCE
have_not_been_firmly_established	have_not_been_firmly_established	FULL_UNKNOWN
have_not_been_fully_identified	have_not_been_fully_identified	INCOMPLETE_EVIDENCE
have_not_been_identified	have_not_been_identified	FULL_UNKNOWN
have_not_been_studied	have_not_been_studied	FULL_UNKNOWN
have_not_been_well_studied	have_not_been_well_studied	INCOMPLETE_EVIDENCE
have_shown	have_shown	INCOMPLETE_EVIDENCE
have_to_be	have_to_be	IMPORTANT_CONSIDERATION
here	here	QUESTION_ANSWERED_BY_THIS_WORK
here...investigated	here.{0,5}investigated	QUESTION_ANSWERED_BY_THIS_WORK
heterogeneity	heterogeneity	DIFFICULT_TASK
heterogeneous	heterogeneous	DIFFICULT_TASK
high_index_of_suspicion	high_index_of_suspicion	INCOMPLETE_EVIDENCE
high_priority	high_priority	IMPORTANT_CONSIDERATION
highly...relevant	highly.{0,17}relevant	IMPORTANT_CONSIDERATION
highly_recommended	highly_recommended	IMPORTANT_CONSIDERATION
hint	hint	INCOMPLETE_EVIDENCE
hope_to	hope_to	FUTURE_WORK
how	how	EXPLICIT_QUESTION
however	however	ALTERNATIVE_OPTIONS_CONTROVERSY
hypotheses	hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
hypothesis	hypothesis	INCOMPLETE_EVIDENCE
hypothesised	hypothesised	INCOMPLETE_EVIDENCE
hypothesize	hypothesize	INCOMPLETE_EVIDENCE
hypothesized	hypothesized	INCOMPLETE_EVIDENCE
hypothetical_arguments	hypothetical_arguments	INCOMPLETE_EVIDENCE
idea	idea	INCOMPLETE_EVIDENCE
if	if	ALTERNATIVE_OPTIONS_CONTROVERSY
if...or...or	if.{0,62}or.{0,35}or	ALTERNATIVE_OPTIONS_CONTROVERSY
if_confirmed	if_confirmed	FUTURE_PREDICTION
if_so	if_so	FUTURE_PREDICTION
immediate_need	immediate_need	IMPORTANT_CONSIDERATION
impact	impact	SUPERFICIAL_RELATIONSHIP
impacts	impacts	SUPERFICIAL_RELATIONSHIP
impaired	impaired	DIFFICULT_TASK
imperative	imperative	IMPORTANT_CONSIDERATION
implicated	implicated	SUPERFICIAL_RELATIONSHIP
implications	implications	IMPORTANT_CONSIDERATION
imply	imply	SUPERFICIAL_RELATIONSHIP
importance	importance	IMPORTANT_CONSIDERATION
important	important	IMPORTANT_CONSIDERATION
important_consideration	important_consideration	IMPORTANT_CONSIDERATION
importantly	importantly	ANOMALY_CURIOUS_FINDING
impose	impose	SUPERFICIAL_RELATIONSHIP
impossible	impossible	DIFFICULT_TASK
imprecise	imprecise	ALTERNATIVE_OPTIONS_CONTROVERSY
in_additional_populations	in_additional_populations	FUTURE_WORK
in_contrast_to	in_contrast_to	ALTERNATIVE_OPTIONS_CONTROVERSY
in_keeping_with	in_keeping_with	INCOMPLETE_EVIDENCE
in_large_part	in_large_part	INCOMPLETE_EVIDENCE
in_light_of	in_light_of	PROBABLE_UNDERSTANDING
in_line_with	in_line_with	INCOMPLETE_EVIDENCE
in_literature	in_literature	INCOMPLETE_EVIDENCE
in_order_to	in_order_to	QUESTION_ANSWERED_BY_THIS_WORK
in_part	in_part	INCOMPLETE_EVIDENCE
in_spite	in_spite	ANOMALY_CURIOUS_FINDING
inadequately_studied	inadequately_studied	INCOMPLETE_EVIDENCE
inadequately_understood	inadequately_understood	INCOMPLETE_EVIDENCE
incidentally	incidentally	ANOMALY_CURIOUS_FINDING
incomplete...results	incomplete.{0,7}results	INCOMPLETE_EVIDENCE
incomplete_understanding	incomplete_understanding	INCOMPLETE_EVIDENCE
incompletely	incompletely	INCOMPLETE_EVIDENCE
inconclusive	inconclusive	ALTERNATIVE_OPTIONS_CONTROVERSY
inconsistencies	inconsistencies	ALTERNATIVE_OPTIONS_CONTROVERSY
inconsistency	inconsistency	ALTERNATIVE_OPTIONS_CONTROVERSY
inconsistent	inconsistent	ALTERNATIVE_OPTIONS_CONTROVERSY
increased_attention	increased_attention	INCOMPLETE_EVIDENCE
increased_exponentially	increased_exponentially	IMPORTANT_CONSIDERATION
increasing...evidence	increasing.{0,14}evidence	INCOMPLETE_EVIDENCE
increasingly_accepted	increasingly_accepted	INCOMPLETE_EVIDENCE
increasingly_recognised	increasingly_recognised	INCOMPLETE_EVIDENCE
indicate	indicate	INCOMPLETE_EVIDENCE
indicated	indicated	INCOMPLETE_EVIDENCE
indicates	indicates	INCOMPLETE_EVIDENCE
indicating	indicating	INCOMPLETE_EVIDENCE
influence	influence	SUPERFICIAL_RELATIONSHIP
influenced	influenced	SUPERFICIAL_RELATIONSHIP
influences	influences	SUPERFICIAL_RELATIONSHIP
influential	influential	SUPERFICIAL_RELATIONSHIP
information...is_scarce	information.{0,43}is_scarce	INCOMPLETE_EVIDENCE
initially_thought	initially_thought	ALTERNATIVE_OPTIONS_CONTROVERSY
insight	insight	INCOMPLETE_EVIDENCE
insufficient...information	insufficient.{0,6}information	INCOMPLETE_EVIDENCE
insufficient_evidence	insufficient_evidence	INCOMPLETE_EVIDENCE
inter-relationships	inter-relationships	SUPERFICIAL_RELATIONSHIP
interact	interact	SUPERFICIAL_RELATIONSHIP
interaction	interaction	SUPERFICIAL_RELATIONSHIP
interactions	interactions	SUPERFICIAL_RELATIONSHIP
interacts	interacts	SUPERFICIAL_RELATIONSHIP
interest	interest	ANOMALY_CURIOUS_FINDING
interesting	interesting	ANOMALY_CURIOUS_FINDING
interesting_to_note	interesting_to_note	ANOMALY_CURIOUS_FINDING
interestingly	interestingly	ANOMALY_CURIOUS_FINDING
interpretation	interpretation	INCOMPLETE_EVIDENCE
interpreted	interpreted	FULL_UNKNOWN
interrelated	interrelated	SUPERFICIAL_RELATIONSHIP
interrelation	interrelation	SUPERFICIAL_RELATIONSHIP
interrelationship	interrelationship	SUPERFICIAL_RELATIONSHIP
interrelationships	interrelationships	SUPERFICIAL_RELATIONSHIP
intersect	intersect	SUPERFICIAL_RELATIONSHIP
interventions_are_needed	interventions_are_needed	FUTURE_WORK
inverse_effect	inverse_effect	SUPERFICIAL_RELATIONSHIP
investigated	investigated	QUESTION_ANSWERED_BY_THIS_WORK
investigations	investigations	FUTURE_WORK
involved	involved	SUPERFICIAL_RELATIONSHIP
ironically	ironically	ANOMALY_CURIOUS_FINDING
is_considered	is_considered	INCOMPLETE_EVIDENCE
is_sparse	is_sparse	INCOMPLETE_EVIDENCE
is_thought	is_thought	INCOMPLETE_EVIDENCE
is_warranted	is_warranted	FUTURE_WORK
issue	issue	PROBLEM_COMPLICATION
issues	issues	PROBLEM_COMPLICATION
it_is_clear	it_is_clear	PROBABLE_UNDERSTANDING
it_is_known	it_is_known	INCOMPLETE_EVIDENCE
it_is_possible	it_is_possible	INCOMPLETE_EVIDENCE
it_is_thought	it_is_thought	INCOMPLETE_EVIDENCE
knowledge_gap	knowledge_gap	FULL_UNKNOWN
lack	lack	INCOMPLETE_EVIDENCE
lack_answers	lack_answers	INCOMPLETE_EVIDENCE
lack_of	lack_of	INCOMPLETE_EVIDENCE
lack_of...data	lack_of.{0,25}data	INCOMPLETE_EVIDENCE
lack_of_evidence	lack_of_evidence	INCOMPLETE_EVIDENCE
lack_of_information	lack_of_information	INCOMPLETE_EVIDENCE
lack_of_knowledge	lack_of_knowledge	FULL_UNKNOWN
lack_of_rigor	lack_of_rigor	INCOMPLETE_EVIDENCE
lacking	lacking	FULL_UNKNOWN
lacks	lacks	FULL_UNKNOWN
lacks_efficacy	lacks_efficacy	INCOMPLETE_EVIDENCE
largely_driven_by	largely_driven_by	INCOMPLETE_EVIDENCE
larger_studies	larger_studies	FUTURE_WORK
leading_cause	leading_cause	IMPORTANT_CONSIDERATION
less	less	INCOMPLETE_EVIDENCE
less_clear	less_clear	FULL_UNKNOWN
less_is_known	less_is_known	FULL_UNKNOWN
likelihood	likelihood	PROBABLE_UNDERSTANDING
likely	likely	PROBABLE_UNDERSTANDING
likely_be	likely_be	PROBABLE_UNDERSTANDING
limit	limit	INCOMPLETE_EVIDENCE
limitation	limitation	INCOMPLETE_EVIDENCE
limitations	limitations	INCOMPLETE_EVIDENCE
limited	limited	INCOMPLETE_EVIDENCE
limited...data	limited.{0,14}data	INCOMPLETE_EVIDENCE
limited_evidence	limited_evidence	INCOMPLETE_EVIDENCE
limited_number	limited_number	INCOMPLETE_EVIDENCE
limited_number_of_studies	limited_number_of_studies	INCOMPLETE_EVIDENCE
