span,IGNORANCE TYPE
But new research suggests that a weekly iron supplement coinciding with the renewal of the small intestineâ€™s mucosal lining cells (where nutrient absorption occurs) works better than a daily supplement and prevents problems resulting from too much iron at the wrong times.,0
Reproductive Toxicity: Too Much of a Good Thing?,0
The main aim was to study factors identified in a previous study as potentially causally related to cancer of the oesophagus.,0
"The use of opium, bread and tea could not be assessed in the retrospective framework.",0
Strongly associated with risk of oesophageal cancer were low socio-economic status and low intake of fresh fruit and vegetables.,0
"Other tumours (lung, stomach, breast, large bowel, larynx and pharynx) were included to distinguish findings specific for oesophageal cancer from general characteristics of cancer patients, due for example to ascertainment bias, and to verify that expected associations, such as between lung cancer and cigarette smoking, would emerge under the prevailing field conditions.",0
"In the February 2008 issue of Food and Chemical Toxicology , researchers from India report that aqueous garlic extract (AGE) fed to at-risk individuals may reduce the toxic effects of arsenic.",0
"Moreover, previously noted associations between current smoking and age at menopause were not observed among these women.",0
"These birds, which lived in northeastern Siberia, northern Alaska, and northern Greenland, are believed to have had no contact with humans.",0
"The researchers proposed three possible explanations for their findings: the birds could have been exposed to the bacteria through contact with other species of birds migrating from other regions, or resistance could have developed either through spontaneous mutations or through horizontal gene transfer from other microbes.",0
"This rule, the first of its kind in the world, will apply mainly to personal care products but also could apply to other categories such as food and textiles.",0
The group cites insufficient evidence on the impact of nanomaterials on the environment and human health.,0
"China Begins National Survey of Pollution Sources\nAlthough China has set goals to cut emissions of major pollutants, emissions of sulfur dioxide and some indicators of poor water quality increased in 2006.",0
Experts have decried the lack of trustworthy statistics on the sources and extent of pollution and the number of remediation facilities.,0
Ancient Chinese Cancer Secret?,0
"In the clinical trials, compounds from the venom have proven beneficial and caused no apparent side effects in patients with advanced liver, pancreatic, or lung cancer.",0
"Cardiac glycosides in the venom are thought to inhibit proteins that promote cancer cell growth, thereby causing cancer cell death.",0
"The researchers believe the antioxidant properties of garlic, along with the chelating efficacy exhibited, led to the success of the treatment.",0
"Although potentially toxic at high doses, these glycosides are used to treat congestive heart failure.",0
"Currently, the venom-based treatment is administered by injection, but the Texas researchers hope to develop a pill form.",0
The Beat\n\nSavory Relief for Arsenic Poisoning?,0
In Utero Cigarette Smoke Exposure and Age at Menopause\nIt is well documented that women who smoke cigarettes begin menopause earlier than nonsmokers.,0
Protein Expression in the Nucleus Accumbens of Rats Exposed to Developmental Vitamin D Deficiency\n\nAbstract\n\nIntroduction\nDevelopmental vitamin D (DVD) deficiency is a candidate risk factor for schizophrenia.,0
"Because the nucleus accumbens has been implicated in neuropsychiatric disorders, in the current study we examined protein expression in this region in adult rats exposed to DVD deficiency\n\nMethods\nFemale Sprague Dawley rats were maintained on a vitamin D deficient diet for 6 weeks, mated and allowed to give birth, after which a diet containing vitamin D was reintroduced.",0
"Based on a False Discovery Rate of 28%, we predict that nine of these spots would be false positives.10.1371/journal.pone.0002383.g001\n\nCaption (FIG): FIGURE 1\nAltered proteins in the nucleus accumbens in adult DVD-deficient and control male rats.",0
"Several of the components of the network converge on MAPK1, a MAP kinase that serves to integrate multiple biochemical signals (previously known as ERK2), that was found to be significantly down-regulated in the proteomics study.10.1371/journal.pone.0002383.g002\n\nCaption (FIG): FIGURE 2\nNetwork analysis of the proteins assembled by Ingenuity Pathway Analysis.",0
"Discussion\nDevelopmental vitamin D deficiency is associated with a subtle alteration in the expression of protein involved in functions related to calcium binding proteins, and mitochondrial functioning.",0
Compromised calcium buffering in the nucleus accumbens could disrupt adaptive and goal-directed behaviors.,0
"The small fold changes found in the study, while statistically significant, were too low to be reliably confirmed via immunoblot[49].",0
"Calcium binding proteins have been of interest to schizophrenia research for some time[27], in particular with respect to the expression in cortical GABAergic interneurons[28].",0
"Calcium binding proteins are central to a wide range of cellular functions, of which calcium sequestration and buffering are particularly important for neurons.",0
"Amongst other functions, it is thought that this family of diffuse cytoplasmic proteins provides a â€˜sinkâ€™ allowing cells to rapidly buffer intracellular calcium after actions potentials, thus allowing the cell to rapidly repolarise for further firing.",0
"Other proteins associated with DVD deficiency related to mitochondrial function, and the dynamin-like proteins.",0
"Calbindin is strongly induced by vitamin D[29], and thus it is feasible that the reduction in this protein may be a consequence of the early life reduction in vitamin D. The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30]\nTwo members of the dynamin family (dynamin 1 and dynamin 1-like proteins) were also significantly down-regulated.",0
"These proteins are essential for clathrin-mediated endocytosis, a role of particular importance in neurons for neurotransmitter release[31].",0
"Apart from this function, these proteins are essential for the insertion of dopamine receptor 2 (DRD2) into the nonsynaptic membrane of dopaminergic neurons[32].",0
These findings suggest that proteins involved in SNAP and SNARE mediated vesicle release may be disrupted in the DVD model.,0
These findings suggest that cellular energics may be altered in this brain region in the DVD-deficient rat.,0
"Curiously, it has recently been shown that dynamin 1-like protein is also important for mitochondrial fission and general morphology[33].",0
"It is known that down-regulation of calcium binding proteins shift essential calcium buffering requirements to the mitochondrial compartment, which, in turn, leads to compromised mitochondrial energy production[34].",0
Conclusions\nDevelopmental vitamin D deficiency was associated with subtle changes in protein expression in the nucleus accumbens.,0
"With respect to the nucleus accumbens, calcium-binding proteins such as calbindin are often used to demarcate discrete neuroanatomical boundaries, inferring that these proteins confer selective functional properties to these cells[35].",0
"In the core region of the nucleus accumbens, neurons have dense spines, which may reflect the degree of synaptic plasticity required for the integrative function of cells in this region[36].",0
"Many of the dopaminergic cells in this region also express neuropeptides such as bradykinan, neurotensin and substance P. The protein with the greatest fold change in this study was thimet oligopeptidase (down-regulated 1.67), which is involved in the degradation of these small proteins[37].",0
Neuropeptides such as neurotensin can indirectly influence dopaminergic transmission in the nucleus accumbens via glutamate and GABA-ergic mediated processes[38].,0
"Thus, these neuropeptides are of interest as potential targets for novel antipsychotic agents[39],[40].",0
"Disruptions in pathways related to calcium-binding proteins and mitochondrial function may underlie some of the behavioural features associated with animal models of developmental vitamin D deficiency\n\nIntroduction\nBased on clues from epidemiology, we have proposed that low prenatal vitamin D may be a risk factor for later development of schizophrenia[1].",0
"Curiously, it has been shown that calcium concentration is an important modulator of thimet oligopeptidase activity[41], thus the disruption of this protein may also be down-stream consequence of altered calcium buffering.",0
"With respect to schizophrenia, several of proteins identified in this study have also been reported to be disrupted in post-mortem brain tissue from patients with schizophrenia.",0
"A range of studies (proteomics, genomics, gene association studies) have linked schizophrenia with alterations in malate dehydrogenase cytoplasmic (MDHC, now known as malic enzyme 2)[42]â€“[47].",0
"Similarly, mitogen-activated protein kinase 1, significantly down-regulated in this study, has been found to be down-regulated at both the mRNA and protein levels in post-mortem schizophrenia brain tissue (thalamus)[48]\nLike the previous proteomic study[18], we found no alterations in proteins directly associated with DA signaling.",0
This suggests that baseline DA signaling may be normal in this model and abnormalities only become unmasked in the presence of drugs that alter DA/glutamate balance in the brain.,0
It is conceivable that a slight reduction in calcium buffering proteins may affect the ability of neurons within the nucleus accumbens to repolarise in response to psychomimetic agents.,0
"Alternately, any reduction in cellular energetics within this region may delay the integration of cortical and/or sub-cortical inputs.",0
"Disappointingly, we found no overlap with the proteins identified in the current study versus those in the previous publication[18].",0
"However, the previous study was based on cortical and hippocampal tissue from adult female animals, whereas the current study was based on tissue from the nucleus accumbens in adult male animals.",0
Interpretation of the current study is also limited because of the lack of immunoblot confirmation of the differentially expressed spots.,0
"Based on the behavioural findings in DVD-deficient rats, there is a case to explore proteomic dysregulation in rats after exposure to drugs known to disrupt dopaminergic and glutaminergic pathways.",0
"For example, we have shown that while habituated DVD rats have normal locomotion activity in the open field at baseline, they have pronounced hyperlocomotion after exposure to MK-801[10],[12].",0
We plan to explore these issues in future experiments.,0
"In conclusion, developmental vitamin D deficiency is associated with subtle changes in a range of proteins in the nucleus accumbens.",0
These findings suggest that pathways involved in calcium binding and mitochondrial function may underpin the behavioural features associated with this particular animal model of schizophrenia.,0
"Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30].",0
"Many studies have shown that those born in winter and spring have a significantly increased risk of developing schizophrenia[2], and that those born at higher latitudes are also at increased risk of schizophrenia[3].",0
"Animal models have confirmed that DVD deficiency is associated with a range of altered genomic, proteomic, structural and behavioural outcomes in the rat.",0
"Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D â€˜fitsâ€™ these key environmental features and is therefore a plausible candidate risk factor for this disease.",0
"In order to explore the biological plausibility of this candidate, we have a rat model that we call the Developmental Vitamin D (DVD) model.",0
Rats exposed to low prenatal vitamin D have a broad range of neurobiological outcomes that are informative for schizophrenia research.,0
5) DVD-deficient rats also have altered attentional processing indicated by impaired latent inhibition[11].,0
Some of the most robust and consistent findings in the DVD model have emerged in behavioural pharmacological studies.,0
"For example, we have shown that DVD-deficient rats have enhanced locomotion in response to the psychomimetic agents such as NMDA antagonist MK-801[10],[12].",0
Dysfunction of DA signalling has been strongly implicated in the pathogenesis of schizophrenia[13].,0
"Dopamine projections involve a range of cortical and subcortical regions, however its role in the nucleus accumbens has been of particular interest with respect to neuropsychiatric disorders[14]â€“[16].",0
"In the nucleus accumbens, dopamine influences the integration of inputs from the ventral hippocampus, the amygdala, and the prefrontal cortex.",0
Grace and colleagues have suggested that dopamine may modulate a range of limbic and cortical functions relevant to the pathophysiology of schizophrenia via the nucleus accumbens[17].,0
"Previously we explored the genomic and proteomic characteristics of frontal cortex and the hippocampus in the adult DVD rat[18],[19].",0
"These proteins are associated with several biological pathways including oxidative phosphorylation, cytoskeleton maintenance, calcium homeostasis, chaperoning, synaptic plasticity and neurotransmission.",0
A computational analysis of these data revealed that many of the proteins dysregulated in the DVD model have also been shown to be altered in schizophrenia post-mortem brain studies[18].,0
"In order to further explore the impact of DVD on brain function, we undertook a proteomic study of the nucleus accumbens.",0
"Female rats were not used in these experiments, because the estrous cycle can introduce variability in protein expression in the region of interest[20],[21].",0
"Generally, a peptide match with at least 30% total sequence coverage was required for confidence in identification, but very low and high mass protein, and those resulting from protein fragmentation may not always meet the criterion.",0
"Although many proteins were found to be significantly altered in DVD-deficient adults, the fold-change level was insufficient for confirmation analysis by western blot.",0
"Finally, proteomic analyses are prone to Type I errors.",0
"While we did not adjust the p value for the number of comparisons undertaken, we report the false discovery rate, which provides an estimate of the proportion of significantly different proteins (p<0.05) that may be truly null[25],[26].",0
"In previous work and a scoping study, we found that most of the research carried out in relation to impaired spermatogenesis had investigated time trends rather than association with specific risk factors (Martin et al.",0
"Further, our analysis was limited to prenatal exposure to estrogenic agents.",0
A number of studies have found associations between sperm motility or sperm DNA damage with levels of estrogenic chemicals measured either in urine or serum (Duty et al.,0
Respond\nIn response to Prasadâ€™s constructive comments on our quantitative meta-analysis of the estrogen hypothesis and testicular dysgenesis syndrome (Martin et al.,0
It would not be possible however to relate such levels to prenatal exposure.,0
This also illustrates the difficulty of selecting a suitable marker of impaired spermatotogenesis.,0
Our study was implicitly limited to congenital cryptorchidism because the literature search did not yield any caseâ€“control or cohort studies that addressed the question of prenatal exposure to estrogenic compounds and acquired cryptorchidism in humans.,0
"We concluded that the significant association between prenatal diethylstilbestrol exposure and all three end points considered conferred weight to the hypothesis of a common etiology for these disorders, and therefore to the existence of a testicular dysgenesis syndrome (Martin et al.",0
"Separate analyses were carried out for the three end points but the methodology applied did not allow us to explore the specific nature of causal relationships between congenital cryptorchidism, hypospadias, and testicular cancer.",0
"2008), we offer the following observations regarding the scope of our study and limitations of the methodology applied.",0
"It cannot, however, correct for potential bias and confounding of the studies included; we addressed this issue in our review (Martin et al.",0
"As gestational diabetes is associated with adverse pregnancy outcomes, and has long-term implications for both mother and child, it is important that it is recognized and appropriately managed.",0
"This review will examine the pharmacological options for the management of gestational diabetes, as well as the evidence for blood glucose monitoring, dietary and exercise therapy.",0
"Amongst sibships discordant for exposure to hyperglycemia, the sibling exposed to hyperglycemia had a considerably higher risk of subsequent diabetes, suggesting that genetic factors were not predominantly responsible for the difference in diabetes incidence.",0
"Since then, numerous other observational studies have shown that the offspring of diabetic pregnancies have a higher risk of developing a diabetes phenotype.18,19There is also concern that this leads to an intergenerational effect, with GDM promoting diabetes in the offspring, with perpetuation of the vicious cycle when the offspring herself develops GDM, thereby predisposing the grandchild to the development of diabetes as well.20It is unknown however, what degree of hyperglycemia, or indeed if it is related metabolic disturbances, which increases the risk of diabetes to the offspring.",0
"The medical management of gestational diabetes is still evolving, and recent randomized controlled trials have added considerably to our knowledge in this area.",0
Evidence from more contemporary populations is that the likelihood of subsequent diabetes may be substantially higher.22Women who have had GDM account for a significant burden of the population prevalence of diabetes.,0
"It has been estimated that up to one third of women with diabetes, had a GDM pregnancy earlier in their life,2though this was not evident in a recent survey of women with type 2 diabetes.23\nThis review will focus on the medical management of GDM, in particular self monitoring of blood glucose and diabetes education, dietary therapy and physical activity, pharmacotherapy, and post-partum management.",0
"For an excellent discussion of the obstetric management of GDM, I will refer the reader to the review by Conway.24\n\nDiabetes education, self-monitoring of blood glucose, dietary therapy, and exercise\nSelf-care is an important component of the management of GDM.",0
The involvement of a dietician and diabetes educator experienced in the care of women with GDM will facilitate these areas of management.,0
Blood glucose monitoring\nWomen with GDM should perform home blood glucose monitoring.,0
Treatment to post-prandial targets results in superior pregnancy outcomes compared to pre-prandial targets.25The recommended treatment targets vary from country to country (Table 2).,0
These are largely consensus-based as the risk of complications is continuous and there are no obvious thresholds above which the risk markedly increases.,0
"As insulin therapy is effective and safe, it is considered the gold standard of pharmacotherapy for gestational diabetes, against which other treatments have been compared.",0
Lifestyle measures can provide adequate control in the majority of cases.,0
"If glucose targets are not adequately met by lifestyle measures, and perhaps a review of dietary intake, then pharmacotherapy should be introduced.",0
"Rather than basing the need for insulin on glycemic parameters alone, some have advocated the combined use of ultrasound assessment of fetal abdominal circumference in combination with blood glucose levels.",0
Dietary therapy\nIt is generally accepted that dietary therapy is the cornerstone of treatment of GDM.,0
Therefore all women with GDM should receive counseling from a specialist dietitian.,0
The aim is to achieve normoglycemia whilst providing the required nutrients for normal fetal growth and maternal health.,0
"There are few trials examining the efficacy of dietary therapy for GDM, However, a cluster randomized controlled study has provided support for Medical Nutrition Therapy (MNT) for GDM, as recommended by the American Diabetes Association (ADA) (2004).",0
"In this study, 215 women with GDM were seen at sites randomized to deliver either MNT or standard care.27Fewer subjects in the MNT group required insulin (24.6% vs 31.7%, p = 0.05) and there was a trend to fewer women having a glycated hemoglobin (HbA1c) >6% (8.1% vs 13.6%, p = 0.25).",0
"The ADA states that all women should receive individualized counseling to provide adequate calories and nutrients to meet the needs of pregnancy and consistent with the blood glucose goals (fasting â‰¤105 mg/dl [5.8 mmol/L], 1 hr â‰¤155 mg/dl [8.6 mmol/L], and 2 hrs â‰¤130 mg/dl [7.2 mmol/L]).",0
"The current experience is that the short acting insulin analogs lispro and aspart are safe, but there are only limited data to support the use of long acting insulin analogs.",0
"Although there was an initial small uncontrolled report which suggested that Lispro may have teratogenic effects when used in type 1 diabetic pregnancy,37this has not been borne out in subsequent studies.",0
There are a number of case reports and small case series of glargine being utilized without the development of pregnancy complications.,0
"There are also data from a total of 48 women with GDM.46,47To date no randomized controlled studies have been published.",0
None of these events were adjudged by the data and safety monitoring committee to be treatment related and there were no serious adverse events associated with the use of metformin.,0
There are no studies using glitazones in pregnancy.,0
"Transplacental transfer occurs,67,81and until studies demonstrating safety are performed, they should be avoided in pregnancy.",0
"These studies were largely retrospective, unrandomized, or lacked power to detect differences in serious adverse perinatal outcomes and will not be listed here.",0
"For obese women, a 30%â€“33% calorie restriction to approximately 25 kcal/kg actual weight per day is recommended.",0
Carbohydrate should be restricted to 35%â€“40% of calories.,0
"There are also data to support low carbohydrate diets in pregnancy, and for the carbohydrate to be of low glycemic index.",0
"In a nonrandomized study, women with GDM on a diet comprising less than 42% carbohydrate, had lower post-prandial glucose levels, were less likely to require insulin, and had a lower incidence of large for gestational age.28A small study which randomized pregnant women to low glycemic index (GI) or high GI diets found that the former resulted in lower glucose levels, a blunting of the pregnancy associated rise in insulin resistance, and lower birthweight.29In another study of GI, women assigned to a low GI diet during pregnancy gave birth to infants who were lighter (3408 Â± 78 g vs 3644 Â± 90 g) and had a lower incidence of large for gestational age, compared to women given a high GI diet.30Both diets comprised 55% carbohydrate.",0
"Whilst the latter studies were not specifically performed in women with GDM, they suggest that the concept of GI is valid in pregnancy, and it would be appropriate to recommend low GI carbohydrate to women with GDM.",0
Additional dietary measures are usually based upon the general recommendations for diabetes mellitus.,0
A reduction in simple carbohydrates and fat intake is advisable.,0
"Emphasis is given to spreading the dietary intake over six meals daily, with three main meals and three snacks, in order to avoid large carbohydrate loads at any time.",0
"Except for saccharin, which can cross the placenta and is therefore not recommended, other noncaloric sweeteners may be used in moderation.",0
"Physical activity\nIn people with type 2 diabetes, there is ample evidence that regular physical activity enhances insulin sensitivity, facilitates weight loss, and thereby improves glucose control.",0
"Several small studies have examined whether regular exercise is also beneficial in the management of GDM Jovanavic-Petersen randomized 19 women with GDM to a regime of diet alone, or diet with 20 minutes of supervised aerobic training three days per week for six weeks.31This modest amount of physical activity resulted in lower fasting glucose levels, lower glucose responses to a glucose challenge, and a lower HbA1c.",0
"Another study randomized 29 women with GDM to 30 minutes of exercise at 70% estimated maximal heart rate, 3â€“4 times per week, or control.32There was a trend to improved glucose levels in those who exercised, which did not reach significance.",0
"Measures of cardiorespiratory fitness however, improved.",0
There are randomized controlled trials which have demonstrated efficacy of the oral agents glyburide and metformin.,0
"A study of 32 women randomized to circuit type exercise three times a week or control, found that resistance training resulted in lower postprandial glucose levels, and a delay in the requirement of insulin.33Amongst women with a prepregnancy BMI > 25, those who were in the exercise arm were less likely to require insulin.",0
"Therefore, it seems reasonable to recommend that when there is no medical or obstetric contraindication, women with GDM should maintain a sensible level of light and moderate intensity physical activity until the latter stages of the pregnancy.",0
"The above studies provide reassurance that moderate intensity activities such as walking for 20â€“30 minutes each day, and attendance at antenatal exercise classes can be safely encouraged, and that modest improvements in glycemic control might be achieved.",0
"Whilst short-term data have not demonstrated adverse effects of glyburide and metformin on the fetus, and they are increasingly being used in pregnancy, there remain long-term concerns regarding their potential for harm.",0
"Insulin therapy for gestational diabetes\nWhen treatment targets are not achieved by dietary means, then insulin is required.",0
"In some cases, an additional morning injection of basal insulin may further improve glycemic control.",0
"As the level of insulin resistance varies from person to person, it is common practice to commence the woman on small doses of insulin, and then to increase the doses at frequent intervals until target glucose levels are attained.",0
The required dosage of insulin usually increases gradually over the third trimester of pregnancy.,0
This may be an early indicator of placental insufficiency.,0
Frequent review and titration of the insulin dosage is recommended.,0
"Unlike the situation for women with pre-existing type 1 diabetes however, significant hypoglycemia is uncommon in women with insulin-treated GDM.",0
Nonetheless the woman should be advised regarding appropriate hypoglycemia prevention and management measures.,0
"For many years, fast-acting (regular) insulin, and intermediate-acting (isophane) insulin have been the preferred insulins for the treatment of GDM.",0
"Human insulin does not normally cross the placenta, though antibody bound animal insulin has been reported to do so.35However, it has been shown by36Jovanovic that it is maternal glucose control, rather than maternal anti-insulin antibody levels which influence birthweight.36Human insulin is considered safe in pregnancy as years of experience has not suggested an increase in fetal complications as a consequence of its use.",0
"There is now increasing evidence that the newer rapid acting insulin analogs lispro and aspart are also safe in pregnancy, and indeed, they are commonly used.",0
"No increase in pregnancy complications have been found in observational studies where lispro was used, in either women with GDM38,43or pre-existing diabetes.38â€“43There are few reports regarding the use of aspart in pregnancy.",0
"However, a large randomized controlled trial comparing aspart with regular human insulin in 322 pregnant women with type 1 diabetes has been performed.44Comparable birth outcomes were found between the two arms, suggesting that aspart is as safe and effective as human insulin.",0
"Background\nGestational diabetes (GDM) is defined as â€œcarbohydrate intolerance with onset or first recognition during pregnancyâ€.1Large studies have found that GDM occurs in 2.2%â€“8.8% of pregnancies, depending on the ethnic mix of the population and the criteria used for diagnosis.2In some specific populations however, the incidence can be considerably higher.",0
"They have all demonstrated that the rapid acting analogues are as effective as regular insulin in the treatment of GDM, with comparable, if not favorable, outcomes (Table 3).",0
"In one study, aspart was detected in the cord blood for one subject.45However, as it was not detected in other subjects, the authors postulated that this was due to the disruption of the uterine-placental barrier during delivery, when the mother had been receiving an aspart infusion.",0
As yet there have been no reports of the use of glulisine in pregnancy.,0
Data regarding the long-acting insulin analogs are less clear than for rapid-acting analogs.,0
The majority of these have been in patients with type 1 diabetes.,0
"Concerns have been expressed about the use of glargine in pregnancy, because of its potential effect on mitogenesis, mediated by its high affinity to the IGF-1 receptor, which is six times that of natural insulin48,49Whilst insulin detemir has a lower binding affinity to the IGF-1 receptor than natural insulin, there is even less information regarding its use in pregnancy.",0
"Although their safety has not been proven, it is often rationalized that a change in the basal insulin will result in deterioration in glycemic control, and therefore the risk of continuing glargine is less than the risk from changing insulins.",0
"However, until their safety in pregnancy can be clearly established, the initiation of long-acting insulin analog therapy in women with GDM cannot be recommended.",0
Oral antidiabetic agents in gestational diabetes\nThere is controversy regarding the use of oral hypoglycemic agents during pregnancy.,0
"Most government drug agencies have not approved their use in pregnancy, and major specialty diabetes organizations recommend that oral agents be ceased if the woman had been taking them pre-pregnancy53â€“55There have now however, been randomized trials conducted with both glyburide and metformin which have not demonstrated short term harm to the pregnancy.",0
"Glyburide (Glibenclamide)\nAmerican authors have stated that glyburide has replaced insulin as first line pharmacological treatment of GDM in many practices.56This has largely occurred on the basis of a randomized controlled trial where 404 women with GDM were treated with glyburide (up to 20 mg/day) or insulin57In this study, the level of glycemic control achieved was the same in both groups (mean glucose concentration during treatment with glyburide 5.9 Â± 0.9 mmol/L compared to 5.9 Â± 1.0 mmol/L in insulin group).",0
Only 4% of women treated with glyburide achieved inadequate control and required a switch to insulin.,0
"Additionally, a number of nonrandomized or retrospective studies examining the treatment of GDM with glyburide have been reported (Table 4).",0
"In general, these indicate that glyburide is effective in achieving glycemic control in the majority of patients.",0
"Most, but not all, suggest that glyburide is as safe as insulin for the fetus.",0
"A meta-analysis which included the above studies as well as others examining women with pre-existing diabetes, with 745 glyburide exposed pregnancies and 637 treated with insulin, has been performed.65This study found that glyburide did not increase the risk of macrosomia, large for gestational age, or neonatal hypoglycemia, but did not examine more serious consequences such as perinatal mortality or congenital anomalies.",0
"Essentially, women at risk of type 2 diabetes are at risk of GDM.",0
Several studies have examined factors which predict failure of glyburide to achieve adequate glycemic control.,0
"Higher glucose levels, either in the glucose tolerance test upon which GDM was diagnosed, or on self-monitoring, and early dietary failure have been found to be associated with glyburide failure.60,58These findings lead to the logical conclusion that subjects with more severe GDM are more likely to require insulin.",0
"Further evidence supporting the safety of glyburide for the fetus comes from a study using an in vitro perfusion, where it was not found to cross the placenta in significant amounts.66However, another in vitro study has found transplacental transfer of glyburide.67In the Langer randomized controlled trial, glyburide was not detected in the cord blood of the neonates and cord insulin levels were similar between the two groups.57\n\nMetformin\nA number of studies have provided conflicting information regarding the safety of metformin use in type 2 diabetic pregnancy.68â€“70There are studies which have used metformin during pregnancy in women with polycystic ovary syndrome, without any noticeable adverse effects on the fetus.71There are few publications of its use in GDM, and these are dominated by the Metformin in Gestational Diabetes (MiG) Study.",0
"The key factor which results in the development of gestational diabetes appears to be a failure to compensate with increased insulin secretion.3As the increase in insulin resistance is greatest in the third trimester, GDM usually develops going into this period.",0
"Interestingly fetal death and malformations were not a component of the primary outcome; however, 19 events in the metformin group were classified as serious fetal or neonatal adverse events (including 11 congenital anomalies) compared to 23 events in the insulin arm (including 18 congenital anomalies and one fetal death).",0
"Additionally, more women using metformin indicated that their treatment was acceptable compared to those on insulin.",0
"From these results, the authors have suggested that metformin is a safe and effective treatment for GDM.",0
Several small studies comparing metformin to insulin for the treatment of GDM have also been performed (Table 5).,0
"Two have concluded that metformin is as effective as insulin for glycemic control in GDM, and that it is safe.",0
"However, one study, a randomised controlled trial, was underpowered to realistically address the effectiveness and safety of metformin in GDM.73In another study, a retrospective case control study, subjects treated with insulin had a greater degree of initial glucose intolerance, so the comparison was of limited validity.74A third study comprised a retrospective cohort which included a mixture of both GDM and women with Type 2 diabetes seen from 1966â€“1991.",0
"It found an increase in stillbirth and perinatal mortality, as well as pre-eclampsia amongst those treated with metformin, compared to women treated with insulin or sulphonylureas.",0
"However, as there was no evaluation of glycemic control early in pregnancy, and more women on metformin had pre-existing type 2 diabetes, the groups do not appear to be well matched.",0
It is quite possible that the adverse findings in this study are due to more women in the metformin group having a greater severity of hyperglycemia early in the pregnancy.,0
"Long-term concerns regarding glyburide and metformin therapy for GDM\nAlthough the above randomized trials have demonstrated non-inferiority of glyburide and metformin in achieving glycemic control, and satisfactory birth outcomes compared to insulin therapy, concerns must remain as long-term issues have not yet been addressed.",0
"Therefore, screening for GDM usually occurs around 24â€“28 weeks into the pregnancy.",0
"Repeated episodes of GDM are associated with the earlier development of diabetes, and this has been postulated to be due to the increased stress that the Î²-cells are exposed to with each pregnancy.75By treating the mother with glyburide, it is possible that this accentuates Î²-cell stress and accelerates their decline, whereas insulin therapy would conversely provide a degree of relief to the Î²-cells.",0
"Therefore glyburide has the potential to result in earlier development of maternal diabetes, and long-term follow-up of the mothers are needed to alleviate this concern.",0
"In contradistinction, metformin reduces insulin resistance and hepatic gluconeogenesis, which theoretically would be beneficial for the preservation of Î²-cell function.",0
